Date,Weight,Nutrition,Exercise,Sleep,Hygiene,Food,source_file,source_sheet,Date_parsed,Date_fixed
,,,80 Shoulder Press,,,,C:\Users\anbal\Downloads\useless.xlsx,Health,,
,,,60 Lateral Raises,,,,C:\Users\anbal\Downloads\useless.xlsx,Health,,
,,,60 Single Arm Row,,,,C:\Users\anbal\Downloads\useless.xlsx,Health,,
,,,60 Kettle Twists,,,,C:\Users\anbal\Downloads\useless.xlsx,Health,,
,,Black Coffee,60 Shoulder Press,,,,C:\Users\anbal\Downloads\10k\Health.xlsx,Health,,
,,,60 Lateral Raises,,,,C:\Users\anbal\Downloads\10k\Health.xlsx,Health,,
,,,60 Single Arm Row,,,,C:\Users\anbal\Downloads\10k\Health.xlsx,Health,,
,,,60 Kettle Twists,,,,C:\Users\anbal\Downloads\10k\Health.xlsx,Health,,
,,,60 Kettle Swings,,,,C:\Users\anbal\Downloads\10k\Health.xlsx,Health,,
,,,60 Shoulder Press,22:30:00,Bath,2 Black Coffee,C:\Users\anbal\Downloads\bomeearyter\Health.xlsx,Health,,
,,,60 Lateral Raises,,,Cod Liver Oil,C:\Users\anbal\Downloads\bomeearyter\Health.xlsx,Health,,
,,,60 Single Arm Row,,,60 Almonds,C:\Users\anbal\Downloads\bomeearyter\Health.xlsx,Health,,
,,,60 Kettle Twists,,,Spinach,C:\Users\anbal\Downloads\bomeearyter\Health.xlsx,Health,,
,,,60 Kettle Swings,,,Chicken Biryani,C:\Users\anbal\Downloads\bomeearyter\Health.xlsx,Health,,
,,,10000 steps,,,Yogurt,C:\Users\anbal\Downloads\bomeearyter\Health.xlsx,Health,,
,,,60 Shoulder Press,,,Black Coffee,C:\Users\anbal\Downloads\bomeearyter\Health.xlsx,Health,,
,,,60 Lateral Raises,,,,C:\Users\anbal\Downloads\bomeearyter\Health.xlsx,Health,,
,,,,,,40 Almonds,C:\Users\anbal\Downloads\bomeearyter\Health.xlsx,Health,,
,,,20 Kettle Twists,,,Chicken Biryani,C:\Users\anbal\Downloads\bomeearyter\Health.xlsx,Health,,
,,,,,,,C:\Users\anbal\Downloads\bomeearyter\Wealth.xlsx,Expenditure,,
,,,,,,,C:\Users\anbal\Downloads\bomeearyter\Wealth.xlsx,Expenditure,,
,,,,,,,C:\Users\anbal\Downloads\bomeearyter\Wealth.xlsx,Expenditure,,
,,,,,,,C:\Users\anbal\Downloads\bomeearyter\Wealth.xlsx,Expenditure,,
,,2 Electrolyte Drink,100 Shoulder Press,,Bath,,C:\Users\anbal\Downloads\chill\Health.xlsx,Health,,
,,Cod Liver Oil,60 Lateral Raises,,,,C:\Users\anbal\Downloads\chill\Health.xlsx,Health,,
,,30 Almonds,,,,,C:\Users\anbal\Downloads\chill\Health.xlsx,Health,,
,,2 Electrolyte Drink,100 Shoulder Press,,Bath,,C:\Users\anbal\Downloads\CONTAIN N CONTROL\Health.xlsx,Health,,
,,Cod Liver Oil,60 Lateral Raises,,,,C:\Users\anbal\Downloads\CONTAIN N CONTROL\Health.xlsx,Health,,
,,25 Almonds,60 Single Arm Row,,,,C:\Users\anbal\Downloads\CONTAIN N CONTROL\Health.xlsx,Health,,
,,Spinach,60 Kettle Twists,,,,C:\Users\anbal\Downloads\CONTAIN N CONTROL\Health.xlsx,Health,,
,,Chicken Gravy,60 Kettle Swings,,,,C:\Users\anbal\Downloads\CONTAIN N CONTROL\Health.xlsx,Health,,
,,Potato Cutlet,,,,,C:\Users\anbal\Downloads\CONTAIN N CONTROL\Health.xlsx,Health,,
,,7up zero,,,,,C:\Users\anbal\Downloads\CONTAIN N CONTROL\Health.xlsx,Health,,
,,Vitamin water,,,,,C:\Users\anbal\Downloads\CONTAIN N CONTROL\Health.xlsx,Health,,
,,2 Veggie Protein Crunch,,,,,C:\Users\anbal\Downloads\CONTAIN N CONTROL\Health.xlsx,Health,,
,,Kulfi,,,,,C:\Users\anbal\Downloads\CONTAIN N CONTROL\Health.xlsx,Health,,
,,Black Coffee,60 Shoulder Press,,,,C:\Users\anbal\Downloads\DEATH\Progression.xlsx,Health,,
,,Cod Liver Oil,20 Lateral Raises,,,,C:\Users\anbal\Downloads\DEATH\Progression.xlsx,Health,,
,,2 Actimel,,,,,C:\Users\anbal\Downloads\DEATH\Progression.xlsx,Health,,
,,2 Black Coffee,60 Shoulder Press,,,,C:\Users\anbal\Downloads\desire\Health.xlsx,Health,,
,,Cod Liver Oil,60 Lateral Raises,,,,C:\Users\anbal\Downloads\desire\Health.xlsx,Health,,
