Date,Weight,Nutrition,Exercise,Sleep,Hygiene,Food
,,,,,,
,,,,,,
,,Cod Liver Oil,60 Bicep Curls,,,
,,Black Coffee,60 Shoulder Press,,,
,,,60 Lateral Raises,,,
,,,60 Single Arm Row,,,
,,,60 Kettle Twists,,,
,,,60 Kettle Swings,,,
,131.0,Electrolyte Drink,100 Bicep Curls,08:30:00,Bath,
,,Cod Liver Oil,100 Shoulder Press,,,
,,Black Coffee,60 Lateral Raises,,,
,,60 Almonds,60 Single Arm Row,,,
,129.4,Electrolyte Drink,,11:00:00,,
,129.4,,60 Bicep Curls,10:00:00,Brush,3 Electrolyte Drink
,,,60 Shoulder Press,22:30:00,Bath,2 Black Coffee
,,,60 Lateral Raises,,,Cod Liver Oil
,,,60 Single Arm Row,,,60 Almonds
,,,60 Kettle Twists,,,Spinach
,,,60 Kettle Swings,,,Chicken Biryani
,,,10000 steps,,,Yogurt
,129.2,,60 Bicep Curls,,,2 Electrolyte Drink
,,,60 Shoulder Press,,,Black Coffee
,,,,,,40 Almonds
,,,20 Kettle Twists,,,Chicken Biryani
,129.6,Black Coffee,100 Bicep Curls,08:25:00,Brush,
,,2 Electrolyte Drink,100 Shoulder Press,,Bath,
,,Cod Liver Oil,60 Lateral Raises,,,
,,30 Almonds,,,,
,132.6,2 Black Coffee,100 Bicep Curls,07:45:00,Brush,
,,25 Almonds,60 Single Arm Row,,,
,,Spinach,60 Kettle Twists,,,
,,Chicken Gravy,60 Kettle Swings,,,
,,Potato Cutlet,,,,
,,7up zero,,,,
,,Vitamin water,,,,
,,2 Veggie Protein Crunch,,,,
,,Kulfi,,,,
,,Electrolyte Drink,60,,,
,,Black Coffee,60,,,
,128.8,Electrolyte Drink,60 Bicep Curls,09:00:00,,
,,Cod Liver Oil,20 Lateral Raises,,,
,,2 Actimel,,,,
,132.0,2 Black Coffee,60 Bicep Curls,08:30:00,,
,,3 Electrolyte Drink,60 Shoulder Press,22:30:00,,
,,Cod Liver Oil,60 Single Arm Row,,,
,,Spinach,60 Lateral Raises,,,
,,80 Almonds,60 Kettle Twists,,,
,,Chicken Achar Gohst,60 Kettle Swings,,,
,,,10000 steps,,,
,131.2,2 Black Coffee,60 Bicep Curls,09:30:00,,
,,3 Electrolyte Drink,60 Shoulder Press,22:00:00,,
,,50 Almonds,60 Kettle Twists,,,
,,Radish Paratha,10000 steps,,,
,130.0,2 Black Coffee,60 Bicep Curls,08:00:00,,
,,3 Electrolyte Drink,60 Shoulder Press,23:00:00,,
,128.6,2 Black Coffee,60 Bicep Curls,07:30:00,,
,,3 Electrolyte Drink,60 Shoulder Press,,,
,,30 Almonds,60 Kettle Twists,,,
,,Rice,,,,
,131.6,2 Black Coffee,60 Bicep Curls,,,
,,60 Almonds,60 Kettle Twists,,,
,,Chicken Karahi,60 Kettle Swings,,,
,,,6000 Steps,,,
,131.0,2 Black Coffee,60 Bicep Curls,,,
,,Spinach,40 Shoulder Press,,,
,,3 almonds,6000 steps,,,
,,Chicken Karahi,,,,
,130.0,2 Black Coffee,60 Bicep Curls,07:00:00,,
,,2 Electrolyte Drink,60 Shoulder Press,,,
,,Electrolyte Drink,20 Lateral Raises,,,
