Date,Weight,Nutrition,Exercise,Sleep,Hygiene,Food,source_file,source_sheet
45924,128.8,,100 Bicep Curls,,,,C:\Users\anbal\Downloads\useless.xlsx,Health
,,,80 Shoulder Press,,,,C:\Users\anbal\Downloads\useless.xlsx,Health
,,,60 Lateral Raises,,,,C:\Users\anbal\Downloads\useless.xlsx,Health
,,,60 Single Arm Row,,,,C:\Users\anbal\Downloads\useless.xlsx,Health
,,,60 Kettle Twists,,,,C:\Users\anbal\Downloads\useless.xlsx,Health
45808,,,,,,,C:\Users\anbal\Downloads\1\Hobby smol.xlsx,Youtube
45809,,,,,,,C:\Users\anbal\Downloads\1\Hobby smol.xlsx,Youtube
45810,,,,,,,C:\Users\anbal\Downloads\1\Hobby smol.xlsx,Youtube
45810,,,,,,,C:\Users\anbal\Downloads\1\Hobby smol.xlsx,Youtube
45810,,,,,,,C:\Users\anbal\Downloads\1\Karma.xlsx,Spotify
45811,,,,,,,C:\Users\anbal\Downloads\1\Karma.xlsx,Spotify
45909,,Cod Liver Oil,60 Bicep Curls,,,,C:\Users\anbal\Downloads\10k\Health.xlsx,Health
,,Black Coffee,60 Shoulder Press,,,,C:\Users\anbal\Downloads\10k\Health.xlsx,Health
,,,60 Lateral Raises,,,,C:\Users\anbal\Downloads\10k\Health.xlsx,Health
,,,60 Single Arm Row,,,,C:\Users\anbal\Downloads\10k\Health.xlsx,Health
,,,60 Kettle Twists,,,,C:\Users\anbal\Downloads\10k\Health.xlsx,Health
,,,60 Kettle Swings,,,,C:\Users\anbal\Downloads\10k\Health.xlsx,Health
45948,129.4,Electrolyte Drink,,11:00:00,,,C:\Users\anbal\Downloads\addictionn\Health.xlsx,Health
45949,,,,,,,C:\Users\anbal\Downloads\bomeearyter\Career.xlsx,Job Application
45949,,,,,,,C:\Users\anbal\Downloads\bomeearyter\Career.xlsx,Job Application
45949,,,,,,,C:\Users\anbal\Downloads\bomeearyter\Career.xlsx,Job Application
45950,,,,,,,C:\Users\anbal\Downloads\bomeearyter\Career.xlsx,Job Application
45949,129.4,,60 Bicep Curls,10:00:00,Brush,3 Electrolyte Drink,C:\Users\anbal\Downloads\bomeearyter\Health.xlsx,Health
,,,60 Shoulder Press,22:30:00,Bath,2 Black Coffee,C:\Users\anbal\Downloads\bomeearyter\Health.xlsx,Health
,,,60 Lateral Raises,,,Cod Liver Oil,C:\Users\anbal\Downloads\bomeearyter\Health.xlsx,Health
,,,60 Single Arm Row,,,60 Almonds,C:\Users\anbal\Downloads\bomeearyter\Health.xlsx,Health
,,,60 Kettle Twists,,,Spinach,C:\Users\anbal\Downloads\bomeearyter\Health.xlsx,Health
,,,60 Kettle Swings,,,Chicken Biryani,C:\Users\anbal\Downloads\bomeearyter\Health.xlsx,Health
,,,10000 steps,,,Yogurt,C:\Users\anbal\Downloads\bomeearyter\Health.xlsx,Health
45950,129.2,,60 Bicep Curls,,,2 Electrolyte Drink,C:\Users\anbal\Downloads\bomeearyter\Health.xlsx,Health
,,,60 Shoulder Press,,,Black Coffee,C:\Users\anbal\Downloads\bomeearyter\Health.xlsx,Health
,,,60 Lateral Raises,,,,C:\Users\anbal\Downloads\bomeearyter\Health.xlsx,Health
,,,,,,40 Almonds,C:\Users\anbal\Downloads\bomeearyter\Health.xlsx,Health
,,,20 Kettle Twists,,,Chicken Biryani,C:\Users\anbal\Downloads\bomeearyter\Health.xlsx,Health
45949,,,,,,,C:\Users\anbal\Downloads\bomeearyter\Hobby.xlsx,Hobby
