Date,Weight,Nutrition,Exercise,Sleep,Hygiene,Food,source_file,source_sheet,Date_raw
2025-09-24,128.8,,100 Bicep Curls,,,,C:\Users\anbal\Downloads\useless.xlsx,Health,45924
,,,80 Shoulder Press,,,,C:\Users\anbal\Downloads\useless.xlsx,Health,
,,,60 Lateral Raises,,,,C:\Users\anbal\Downloads\useless.xlsx,Health,
,,,60 Single Arm Row,,,,C:\Users\anbal\Downloads\useless.xlsx,Health,
,,,60 Kettle Twists,,,,C:\Users\anbal\Downloads\useless.xlsx,Health,
2025-05-31,,,,,,,C:\Users\anbal\Downloads\1\Hobby smol.xlsx,Youtube,45808
2025-06-01,,,,,,,C:\Users\anbal\Downloads\1\Hobby smol.xlsx,Youtube,45809
2025-06-02,,,,,,,C:\Users\anbal\Downloads\1\Hobby smol.xlsx,Youtube,45810
2025-06-02,,,,,,,C:\Users\anbal\Downloads\1\Hobby smol.xlsx,Youtube,45810
2025-06-02,,,,,,,C:\Users\anbal\Downloads\1\Karma.xlsx,Spotify,45810
2025-06-03,,,,,,,C:\Users\anbal\Downloads\1\Karma.xlsx,Spotify,45811
2025-09-09,,Cod Liver Oil,60 Bicep Curls,,,,C:\Users\anbal\Downloads\10k\Health.xlsx,Health,45909
,,Black Coffee,60 Shoulder Press,,,,C:\Users\anbal\Downloads\10k\Health.xlsx,Health,
,,,60 Lateral Raises,,,,C:\Users\anbal\Downloads\10k\Health.xlsx,Health,
,,,60 Single Arm Row,,,,C:\Users\anbal\Downloads\10k\Health.xlsx,Health,
,,,60 Kettle Twists,,,,C:\Users\anbal\Downloads\10k\Health.xlsx,Health,
,,,60 Kettle Swings,,,,C:\Users\anbal\Downloads\10k\Health.xlsx,Health,
2025-10-18,129.4,Electrolyte Drink,,11:00:00,,,C:\Users\anbal\Downloads\addictionn\Health.xlsx,Health,45948
2025-10-19,,,,,,,C:\Users\anbal\Downloads\bomeearyter\Career.xlsx,Job Application,45949
2025-10-19,,,,,,,C:\Users\anbal\Downloads\bomeearyter\Career.xlsx,Job Application,45949
2025-10-19,,,,,,,C:\Users\anbal\Downloads\bomeearyter\Career.xlsx,Job Application,45949
2025-10-20,,,,,,,C:\Users\anbal\Downloads\bomeearyter\Career.xlsx,Job Application,45950
