Date,Weight,Nutrition,Exercise,Sleep,Hygiene,Food,source_file,source_sheet
2025-09-24,128.8,,100 Bicep Curls,,,,C:\Users\anbal\Downloads\useless.xlsx,Health
,,,80 Shoulder Press,,,,C:\Users\anbal\Downloads\useless.xlsx,Health
,,,60 Lateral Raises,,,,C:\Users\anbal\Downloads\useless.xlsx,Health
,,,60 Single Arm Row,,,,C:\Users\anbal\Downloads\useless.xlsx,Health
,,,60 Kettle Twists,,,,C:\Users\anbal\Downloads\useless.xlsx,Health
2025-05-31,,,,,,,C:\Users\anbal\Downloads\1\Hobby smol.xlsx,Youtube
2025-06-01,,,,,,,C:\Users\anbal\Downloads\1\Hobby smol.xlsx,Youtube
2025-06-02,,,,,,,C:\Users\anbal\Downloads\1\Hobby smol.xlsx,Youtube
2025-06-02,,,,,,,C:\Users\anbal\Downloads\1\Hobby smol.xlsx,Youtube
2025-06-02,,,,,,,C:\Users\anbal\Downloads\1\Karma.xlsx,Spotify
2025-06-03,,,,,,,C:\Users\anbal\Downloads\1\Karma.xlsx,Spotify
2025-09-09,,Cod Liver Oil,60 Bicep Curls,,,,C:\Users\anbal\Downloads\10k\Health.xlsx,Health
,,Black Coffee,60 Shoulder Press,,,,C:\Users\anbal\Downloads\10k\Health.xlsx,Health
,,,60 Lateral Raises,,,,C:\Users\anbal\Downloads\10k\Health.xlsx,Health
,,,60 Single Arm Row,,,,C:\Users\anbal\Downloads\10k\Health.xlsx,Health
,,,60 Kettle Twists,,,,C:\Users\anbal\Downloads\10k\Health.xlsx,Health
,,,60 Kettle Swings,,,,C:\Users\anbal\Downloads\10k\Health.xlsx,Health
2025-10-18,129.4,Electrolyte Drink,,11:00:00,,,C:\Users\anbal\Downloads\addictionn\Health.xlsx,Health
2025-10-19,,,,,,,C:\Users\anbal\Downloads\bomeearyter\Career.xlsx,Job Application
2025-10-19,,,,,,,C:\Users\anbal\Downloads\bomeearyter\Career.xlsx,Job Application
2025-10-19,,,,,,,C:\Users\anbal\Downloads\bomeearyter\Career.xlsx,Job Application
2025-10-20,,,,,,,C:\Users\anbal\Downloads\bomeearyter\Career.xlsx,Job Application
2025-10-19,129.4,,60 Bicep Curls,10:00:00,Brush,3 Electrolyte Drink,C:\Users\anbal\Downloads\bomeearyter\Health.xlsx,Health
,,,60 Shoulder Press,22:30:00,Bath,2 Black Coffee,C:\Users\anbal\Downloads\bomeearyter\Health.xlsx,Health
,,,60 Lateral Raises,,,Cod Liver Oil,C:\Users\anbal\Downloads\bomeearyter\Health.xlsx,Health
,,,60 Single Arm Row,,,60 Almonds,C:\Users\anbal\Downloads\bomeearyter\Health.xlsx,Health
,,,60 Kettle Twists,,,Spinach,C:\Users\anbal\Downloads\bomeearyter\Health.xlsx,Health
,,,60 Kettle Swings,,,Chicken Biryani,C:\Users\anbal\Downloads\bomeearyter\Health.xlsx,Health
,,,10000 steps,,,Yogurt,C:\Users\anbal\Downloads\bomeearyter\Health.xlsx,Health
2025-10-20,129.2,,60 Bicep Curls,,,2 Electrolyte Drink,C:\Users\anbal\Downloads\bomeearyter\Health.xlsx,Health
,,,60 Shoulder Press,,,Black Coffee,C:\Users\anbal\Downloads\bomeearyter\Health.xlsx,Health
,,,60 Lateral Raises,,,,C:\Users\anbal\Downloads\bomeearyter\Health.xlsx,Health
,,,,,,40 Almonds,C:\Users\anbal\Downloads\bomeearyter\Health.xlsx,Health
,,,20 Kettle Twists,,,Chicken Biryani,C:\Users\anbal\Downloads\bomeearyter\Health.xlsx,Health
2025-10-19,,,,,,,C:\Users\anbal\Downloads\bomeearyter\Hobby.xlsx,Hobby
2025-10-19,,,,,,,C:\Users\anbal\Downloads\bomeearyter\Hobby.xlsx,Hobby
2025-10-19,,,,,,,C:\Users\anbal\Downloads\bomeearyter\Relationship.xlsx,Relationship
2025-10-19,,,,,,,C:\Users\anbal\Downloads\bomeearyter\Relationship.xlsx,Relationship
2025-10-19,,,,,,,C:\Users\anbal\Downloads\bomeearyter\Relationship.xlsx,Relationship
2025-10-19,,,,,,,C:\Users\anbal\Downloads\bomeearyter\Wealth.xlsx,Expenditure
,,,,,,,C:\Users\anbal\Downloads\bomeearyter\Wealth.xlsx,Expenditure
2025-10-19,,,,,,,C:\Users\anbal\Downloads\bomeearyter\Wealth.xlsx,Expenditure
,,,,,,,C:\Users\anbal\Downloads\bomeearyter\Wealth.xlsx,Expenditure
,,,,,,,C:\Users\anbal\Downloads\bomeearyter\Wealth.xlsx,Expenditure
,,,,,,,C:\Users\anbal\Downloads\bomeearyter\Wealth.xlsx,Expenditure
2025-08-24,129.6,Black Coffee,100 Bicep Curls,08:25:00,Brush,,C:\Users\anbal\Downloads\chill\Health.xlsx,Health
,,2 Electrolyte Drink,100 Shoulder Press,,Bath,,C:\Users\anbal\Downloads\chill\Health.xlsx,Health
,,Cod Liver Oil,60 Lateral Raises,,,,C:\Users\anbal\Downloads\chill\Health.xlsx,Health
,,30 Almonds,,,,,C:\Users\anbal\Downloads\chill\Health.xlsx,Health
2025-08-21,132.6,2 Black Coffee,100 Bicep Curls,07:45:00,Brush,,C:\Users\anbal\Downloads\CONTAIN N CONTROL\Health.xlsx,Health
,,2 Electrolyte Drink,100 Shoulder Press,,Bath,,C:\Users\anbal\Downloads\CONTAIN N CONTROL\Health.xlsx,Health
,,Cod Liver Oil,60 Lateral Raises,,,,C:\Users\anbal\Downloads\CONTAIN N CONTROL\Health.xlsx,Health
,,25 Almonds,60 Single Arm Row,,,,C:\Users\anbal\Downloads\CONTAIN N CONTROL\Health.xlsx,Health
,,Spinach,60 Kettle Twists,,,,C:\Users\anbal\Downloads\CONTAIN N CONTROL\Health.xlsx,Health
,,Chicken Gravy,60 Kettle Swings,,,,C:\Users\anbal\Downloads\CONTAIN N CONTROL\Health.xlsx,Health
,,Potato Cutlet,,,,,C:\Users\anbal\Downloads\CONTAIN N CONTROL\Health.xlsx,Health
,,7up zero,,,,,C:\Users\anbal\Downloads\CONTAIN N CONTROL\Health.xlsx,Health
,,Vitamin water,,,,,C:\Users\anbal\Downloads\CONTAIN N CONTROL\Health.xlsx,Health
,,2 Veggie Protein Crunch,,,,,C:\Users\anbal\Downloads\CONTAIN N CONTROL\Health.xlsx,Health
,,Kulfi,,,,,C:\Users\anbal\Downloads\CONTAIN N CONTROL\Health.xlsx,Health
2025-10-12,128.8,Electrolyte Drink,60 Bicep Curls,09:00:00,,,C:\Users\anbal\Downloads\DEATH\Progression.xlsx,Health
,,Black Coffee,60 Shoulder Press,,,,C:\Users\anbal\Downloads\DEATH\Progression.xlsx,Health
,,Cod Liver Oil,20 Lateral Raises,,,,C:\Users\anbal\Downloads\DEATH\Progression.xlsx,Health
,,2 Actimel,,,,,C:\Users\anbal\Downloads\DEATH\Progression.xlsx,Health
2025-09-25,128.6,2 Electrolyte Drink,60 Bicep Curls,,,,C:\Users\anbal\Downloads\desire\Health.xlsx,Health
,,2 Black Coffee,60 Shoulder Press,,,,C:\Users\anbal\Downloads\desire\Health.xlsx,Health
,,Cod Liver Oil,60 Lateral Raises,,,,C:\Users\anbal\Downloads\desire\Health.xlsx,Health
,,20 Almonds,60 Single Arm Row,,,,C:\Users\anbal\Downloads\desire\Health.xlsx,Health
,,Sindhi Chicken Biryani,60 Kettle Twists,,,,C:\Users\anbal\Downloads\desire\Health.xlsx,Health
,,Vitamin Water Drink,60 Kettle Swings,,,,C:\Users\anbal\Downloads\desire\Health.xlsx,Health
,,Protein Veggie Crunch,,,,,C:\Users\anbal\Downloads\desire\Health.xlsx,Health
,,Club Tropical,,,,,C:\Users\anbal\Downloads\desire\Health.xlsx,Health
,,Protein Bar,,,,,C:\Users\anbal\Downloads\desire\Health.xlsx,Health
2025-08-25,,,,,,,C:\Users\anbal\Downloads\desire\Relationship.xlsx,Relationship
2025-08-25,,,,,,,C:\Users\anbal\Downloads\desire\Relationship.xlsx,Relationship
,,,,,,,C:\Users\anbal\Downloads\desire\Relationship.xlsx,Relationship
2025-09-27,129.2,Electrolyte Drink,60 Bicep Curls,,,,C:\Users\anbal\Downloads\FAILED\Health.xlsx,Health
,,Cod Liver Oil,60 Shoulder Press,,,,C:\Users\anbal\Downloads\FAILED\Health.xlsx,Health
,,Black Coffee,60 Lateral Raises,,,,C:\Users\anbal\Downloads\FAILED\Health.xlsx,Health
,,20 Almonds,60 Single Arm Row,,,,C:\Users\anbal\Downloads\FAILED\Health.xlsx,Health
,,Chicken Gravy,20 Kettle Twists,,,,C:\Users\anbal\Downloads\FAILED\Health.xlsx,Health
2025-09-27,,,,,,,C:\Users\anbal\Downloads\FAILED\Hobby.xlsx,Video Gaming
2025-08-08,129.4,2 Electrolyte Drink,,,,,C:\Users\anbal\Downloads\fails\Health.xlsx,Health
,,75 Almonds,,,,,C:\Users\anbal\Downloads\fails\Health.xlsx,Health
,,Black Coffee,,,,,C:\Users\anbal\Downloads\fails\Health.xlsx,Health
2025-10-17,129,Electrolyte Drink,,10:30:00,,,C:\Users\anbal\Downloads\FUYCKINGSIUODFHUSIPHDUAIOSHDIAOUHSDIAUHSDIHAIDHA\Health.xlsx,Health
,,Spinach,,,,,C:\Users\anbal\Downloads\FUYCKINGSIUODFHUSIPHDUAIOSHDIAOUHSDIAUHSDIHAIDHA\Health.xlsx,Health
,,Cod Liver Oil,,,,,C:\Users\anbal\Downloads\FUYCKINGSIUODFHUSIPHDUAIOSHDIAOUHSDIAUHSDIHAIDHA\Health.xlsx,Health
,,,,,,,C:\Users\anbal\Downloads\FUYCKINGSIUODFHUSIPHDUAIOSHDIAOUHSDIAUHSDIHAIDHA\Health.xlsx,Health
2025-08-12,,,,,,,C:\Users\anbal\Downloads\HONKAIWQ\Hobby.xlsx,PC Gaming
2025-07-14,132.8,4L water,100 Bicep Curls,,,,C:\Users\anbal\Downloads\I HAD ENOUGH IS ENOUGHHHH\Health.xlsx,Sheet1
,,2 Black Coffee,60 Shoulder Press,,,,C:\Users\anbal\Downloads\I HAD ENOUGH IS ENOUGHHHH\Health.xlsx,Sheet1
,,2 Electrolyte Drink,,,,,C:\Users\anbal\Downloads\I HAD ENOUGH IS ENOUGHHHH\Health.xlsx,Sheet1
,,Cod Liver Oil,,,,,C:\Users\anbal\Downloads\I HAD ENOUGH IS ENOUGHHHH\Health.xlsx,Sheet1
,,20 Pumpkin Seed,,,,,C:\Users\anbal\Downloads\I HAD ENOUGH IS ENOUGHHHH\Health.xlsx,Sheet1
,,20 Almonds,,,,,C:\Users\anbal\Downloads\I HAD ENOUGH IS ENOUGHHHH\Health.xlsx,Sheet1
2025-09-08,128.4,Electrolyte Drink,60 Bicep Curls,08:00:00,,,C:\Users\anbal\Downloads\INDULGANCE\Health.xlsx,Health
,,Black Coffee,60 Shoulder Press,,,,C:\Users\anbal\Downloads\INDULGANCE\Health.xlsx,Health
,,20 Almonds,60 Vertical Raises,,,,C:\Users\anbal\Downloads\INDULGANCE\Health.xlsx,Health
,,Chicken Karahi gravy,60 Single Arm Row,,,,C:\Users\anbal\Downloads\INDULGANCE\Health.xlsx,Health
,,Spinach,60 Kettle Twists,,,,C:\Users\anbal\Downloads\INDULGANCE\Health.xlsx,Health
,,Cod Liver Oil,60 Kettle Swings,,,,C:\Users\anbal\Downloads\INDULGANCE\Health.xlsx,Health
,,fanta zero,8400 Ssteps,,,,C:\Users\anbal\Downloads\INDULGANCE\Health.xlsx,Health
,,vitamin drink,,,,,C:\Users\anbal\Downloads\INDULGANCE\Health.xlsx,Health
,,protein crunch,,,,,C:\Users\anbal\Downloads\INDULGANCE\Health.xlsx,Health
