Date,Weight,Nutrition,Exercise
08-12-2025,,,
06-12-2025,,,
06-12-2025,,,
28-11-2025,,,
27-11-2025,129.6,Electrolyte Drink,
27-11-2025,,,
26-11-2025,129.6,2 Electrolyte Drink,60 Bicep Curls
26-11-2025,,,
25-11-2025,,,60 Kettle Twists
25-11-2025,,Electrolyte Drink,20 Lateral Raises
25-11-2025,,,
24-11-2025,128.2,3 Electrolyte Drink,60 Bicep Curls
24-11-2025,,,
22-11-2025,,,
22-11-2025,126.4,2 Electrolyte Drink,60 Bicep Curls
19-11-2025,,,
19-11-2025,,Electrolyte Drink,
14-11-2025,133.2,2 Electrolyte Drink,120 Bicep Curls
14-11-2025,,,
14-11-2025,,,
14-11-2025,,,
13-11-2025,,Spinach,60 Bicep Curls
13-11-2025,,,
09-11-2025,130.8,2 Electrolyte Drink,60 Bicep Curls
08-11-2025,128.6,2 Electrolyte Drink,60 Bicep Curls
07-11-2025,,,
07-11-2025,,,
07-11-2025,,,
07-11-2025,,,
07-11-2025,,,
07-11-2025,,,
07-11-2025,,,
05-11-2025,,Electrolyte Drink,120 Bicep Curls
05-11-2025,131.2,Electrolyte Drink,120 Bicep Curls
03-11-2025,,Electrolyte Drink,
02-11-2025,130.6,Electrolyte Drink,
02-11-2025,,,
01-11-2025,,,
01-11-2025,130,,120 Bicep Curls
31-10-2025,128.2,2 Electrolyte Drink,60 Bicep Curls
31-10-2025,,,
30-10-2025,129.8,Electrolyte Drink,
28-10-2025,,Electrolyte Drink,
28-10-2025,,,
28-10-2025,,,
27-10-2025,128.6,Electrolyte Drink,120 Bicep Curls
26-10-2025,129.2,2 Electrolyte Drink,60 Bicep Curls
26-10-2025,,,
26-10-2025,,,
26-10-2025,,,
26-10-2025,,,
24-10-2025,128.8,Electrolyte Drink,120 Bicep Curls
23-10-2025,130.4,3 Electrolyte Drink,120 Bicep Curls
22-10-2025,,,
20-10-2025,,,
20-10-2025,129.2,,60 Bicep Curls
19-10-2025,,,
19-10-2025,,,
19-10-2025,,,
19-10-2025,,,
19-10-2025,129.4,,60 Bicep Curls
19-10-2025,,,
19-10-2025,,,
19-10-2025,,,
19-10-2025,,,
19-10-2025,,,
19-10-2025,,,
18-10-2025,129.4,Electrolyte Drink,
17-10-2025,129,Electrolyte Drink,
14-10-2025,,,
14-10-2025,,,
14-10-2025,127.2,2 Electrolyte Drink,60 Bicep Curls
12-10-2025,128.8,Electrolyte Drink,60 Bicep Curls
10-10-2025,127.4,Electrolyte Drink,60 Bicep Curls
09-10-2025,128.6,3 Electrolyte Drink,60 Bicep Curls
08-10-2025,133.2,2 Electrolyte Drink,60 Bicep Curls
05-10-2025,129.4,Black Coffee,60 Bicep Curls
03-10-2025,,,
03-10-2025,,,
03-10-2025,,,
03-10-2025,129.6,3 Electrolyte Drink,60 Bicep Curls
01-10-2025,,,
01-10-2025,127.2,Electrolyte Drink,60 Bicep Curls
01-10-2025,,,
01-10-2025,,,
29-09-2025,,,
29-09-2025,,,
27-09-2025,,,
27-09-2025,129.2,Electrolyte Drink,60 Bicep Curls
25-09-2025,128.6,2 Electrolyte Drink,60 Bicep Curls
24-09-2025,128.8,,100 Bicep Curls
21-09-2025,,Electrolyte Drink,60
17-09-2025,130.6,2 Black Coffee,60 Bicep Curls
17-09-2025,,,
17-09-2025,,,
10-09-2025,128.2,2 Electrolyte Drink,60 Bicep Curls
09-09-2025,,Cod Liver Oil,60 Bicep Curls
08-09-2025,128.4,Electrolyte Drink,60 Bicep Curls
07-09-2025,130,2 Black Coffee,60 Bicep Curls
06-09-2025,131,2 Black Coffee,60 Bicep Curls
05-09-2025,,,
05-09-2025,131.6,2 Black Coffee,60 Bicep Curls
04-09-2025,,,
04-09-2025,,,
04-09-2025,128.6,2 Black Coffee,60 Bicep Curls
03-09-2025,,,
03-09-2025,130,2 Black Coffee,60 Bicep Curls
02-09-2025,131.2,2 Black Coffee,60 Bicep Curls
02-09-2025,,,
01-09-2025,,,
01-09-2025,,,
01-09-2025,,,
01-09-2025,132,2 Black Coffee,60 Bicep Curls
01-09-2025,,,
31-08-2025,131,Electrolyte Drink,100 Bicep Curls
30-08-2025,,,
30-08-2025,,,
30-08-2025,,,
30-08-2025,130.6,Electrolyte Drink,100 Bicep Curls
29-08-2025,,Electrolyte Drink,100 Bicep Curls
29-08-2025,,,
28-08-2025,128.6,Electrolyte Drink,100 Bicep Curls
27-08-2025,129,Black Coffee,100 Bicep Curls
26-08-2025,130,3 Black Coffee,100 Bicep Curls
26-08-2025,,,
26-08-2025,,,
25-08-2025,,,
25-08-2025,,,
25-08-2025,,,
25-08-2025,,,
25-08-2025,131,Black Coffee,100 Bicep Curls
24-08-2025,129.6,Black Coffee,100 Bicep Curls
22-08-2025,,,
22-08-2025,129.2,2 Black Coffee,100 Bicep Curls
21-08-2025,,,
21-08-2025,132.6,2 Black Coffee,100 Bicep Curls
19-08-2025,129.8,2 Electrolyte Drink,100 Bicep Curls
12-08-2025,,,
11-08-2025,,,
10-08-2025,129.2,Electrolyte Drink,100 Bicep Curls
10-08-2025,,,
08-08-2025,129.4,2 Electrolyte Drink,
07-08-2025,,,
07-08-2025,,,
07-08-2025,,,
07-08-2025,,Keto Crunch,100 Bicep Curls
05-08-2025,128.6,4L water,100 Bicep Curls
05-08-2025,,,
04-08-2025,,,
03-08-2025,129.8,4L water,
02-08-2025,,,
01-08-2025,131,Electrolyte Drink,100 Bicep Curls
01-08-2025,,,
30-07-2025,,,100 Bicep Curls
29-07-2025,130.4,4L water,100 Bicep Curls
29-07-2025,,,
29-07-2025,,,
27-07-2025,130.8,8L water,100 Bicep Curls
27-07-2025,,,
27-07-2025,,,
26-07-2025,,,
26-07-2025,129.6,4L water,100 Bicep Curls
26-07-2025,,,
25-07-2025,,,
25-07-2025,,,
25-07-2025,131,12L water,100 Bicep Curls
25-07-2025,,,
24-07-2025,,,
23-07-2025,,,
23-07-2025,,,
23-07-2025,131.2,Black Coffeee,100 Bicep Curls
22-07-2025,130,2 Black Coffee,100 Bicep Curls
22-07-2025,,,
22-07-2025,,,
22-07-2025,,,
22-07-2025,,,
22-07-2025,,,
21-07-2025,,,
21-07-2025,,,
20-07-2025,132,8L water,100 Bicep Curls
20-07-2025,,,
20-07-2025,,,
20-07-2025,,,
19-07-2025,,,
19-07-2025,131,6L water,100 Bicep Curls
18-07-2025,,,
18-07-2025,131.4,10L water,100 Bicep Curls
17-07-2025,,,
17-07-2025,132.2,8L water,60 Bicep Curls
16-07-2025,131.6,8L water,100 Bicep Curls
16-07-2025,,,
15-07-2025,,,
