Date,Weight,Nutrition,Exercise,source_file,source_sheet
2025-09-24,128.8,,100 Bicep Curls,C:\Users\anbal\Downloads\useless.xlsx,Health
2025-05-31,,,,C:\Users\anbal\Downloads\1\Hobby smol.xlsx,Youtube
2025-06-01,,,,C:\Users\anbal\Downloads\1\Hobby smol.xlsx,Youtube
2025-06-02,,,,C:\Users\anbal\Downloads\1\Hobby smol.xlsx,Youtube
2025-06-02,,,,C:\Users\anbal\Downloads\1\Hobby smol.xlsx,Youtube
2025-06-02,,,,C:\Users\anbal\Downloads\1\Karma.xlsx,Spotify
2025-06-03,,,,C:\Users\anbal\Downloads\1\Karma.xlsx,Spotify
2025-09-09,,Cod Liver Oil,60 Bicep Curls,C:\Users\anbal\Downloads\10k\Health.xlsx,Health
2025-10-18,129.4,Electrolyte Drink,,C:\Users\anbal\Downloads\addictionn\Health.xlsx,Health
2025-10-19,,,,C:\Users\anbal\Downloads\bomeearyter\Career.xlsx,Job Application
2025-10-19,,,,C:\Users\anbal\Downloads\bomeearyter\Career.xlsx,Job Application
2025-10-19,,,,C:\Users\anbal\Downloads\bomeearyter\Career.xlsx,Job Application
2025-10-20,,,,C:\Users\anbal\Downloads\bomeearyter\Career.xlsx,Job Application
2025-10-19,129.4,,60 Bicep Curls,C:\Users\anbal\Downloads\bomeearyter\Health.xlsx,Health
2025-10-20,129.2,,60 Bicep Curls,C:\Users\anbal\Downloads\bomeearyter\Health.xlsx,Health
2025-10-19,,,,C:\Users\anbal\Downloads\bomeearyter\Hobby.xlsx,Hobby
2025-10-19,,,,C:\Users\anbal\Downloads\bomeearyter\Hobby.xlsx,Hobby
2025-10-19,,,,C:\Users\anbal\Downloads\bomeearyter\Relationship.xlsx,Relationship
2025-10-19,,,,C:\Users\anbal\Downloads\bomeearyter\Relationship.xlsx,Relationship
2025-10-19,,,,C:\Users\anbal\Downloads\bomeearyter\Relationship.xlsx,Relationship
2025-10-19,,,,C:\Users\anbal\Downloads\bomeearyter\Wealth.xlsx,Expenditure
2025-10-19,,,,C:\Users\anbal\Downloads\bomeearyter\Wealth.xlsx,Expenditure
2025-08-24,129.6,Black Coffee,100 Bicep Curls,C:\Users\anbal\Downloads\chill\Health.xlsx,Health
2025-08-21,132.6,2 Black Coffee,100 Bicep Curls,C:\Users\anbal\Downloads\CONTAIN N CONTROL\Health.xlsx,Health
2025-10-12,128.8,Electrolyte Drink,60 Bicep Curls,C:\Users\anbal\Downloads\DEATH\Progression.xlsx,Health
2025-09-25,128.6,2 Electrolyte Drink,60 Bicep Curls,C:\Users\anbal\Downloads\desire\Health.xlsx,Health
2025-08-25,,,,C:\Users\anbal\Downloads\desire\Relationship.xlsx,Relationship
2025-08-25,,,,C:\Users\anbal\Downloads\desire\Relationship.xlsx,Relationship
2025-09-27,129.2,Electrolyte Drink,60 Bicep Curls,C:\Users\anbal\Downloads\FAILED\Health.xlsx,Health
2025-09-27,,,,C:\Users\anbal\Downloads\FAILED\Hobby.xlsx,Video Gaming
2025-08-08,129.4,2 Electrolyte Drink,,C:\Users\anbal\Downloads\fails\Health.xlsx,Health
2025-10-17,129,Electrolyte Drink,,C:\Users\anbal\Downloads\FUYCKINGSIUODFHUSIPHDUAIOSHDIAOUHSDIAUHSDIHAIDHA\Health.xlsx,Health
2025-08-12,,,,C:\Users\anbal\Downloads\HONKAIWQ\Hobby.xlsx,PC Gaming
2025-07-14,132.8,4L water,100 Bicep Curls,C:\Users\anbal\Downloads\I HAD ENOUGH IS ENOUGHHHH\Health.xlsx,Sheet1
2025-09-08,128.4,Electrolyte Drink,60 Bicep Curls,C:\Users\anbal\Downloads\INDULGANCE\Health.xlsx,Health
2025-08-10,129.2,Electrolyte Drink,100 Bicep Curls,C:\Users\anbal\Downloads\jinwu\Health.xlsx,Health
2025-08-10,,,,C:\Users\anbal\Downloads\jinwu\Hobby.xlsx,PC Gaming
2025-08-25,131,Black Coffee,100 Bicep Curls,C:\Users\anbal\Downloads\kalpass\Health.xlsx,Health
2025-08-25,,,,C:\Users\anbal\Downloads\kalpass\Relationship.xlsx,Relationship
2025-08-25,,,,C:\Users\anbal\Downloads\kalpass\Wealth.xlsx,Expenditure
2025-10-09,128.6,3 Electrolyte Drink,60 Bicep Curls,C:\Users\anbal\Downloads\LOOPED\Progression.xlsx,Health
2025-10-10,127.4,Electrolyte Drink,60 Bicep Curls,C:\Users\anbal\Downloads\LOOPED\Progression.xlsx,Health
2025-08-03,129.8,4L water,,C:\Users\anbal\Downloads\LOSER\Health.xlsx,Health
2025-08-22,129.2,2 Black Coffee,100 Bicep Curls,C:\Users\anbal\Downloads\mathematics\Health.xlsx,Health
2025-08-22,,,,C:\Users\anbal\Downloads\mathematics\Hobby.xlsx,PC Gaming
2025-08-01,131,Electrolyte Drink,100 Bicep Curls,C:\Users\anbal\Downloads\NAVY HERON\Health.xlsx,Sheet1
2025-07-22,,,,C:\Users\anbal\Downloads\OKOKOK I LEARNT\Career.xlsx,Career
2025-07-22,130,2 Black Coffee,100 Bicep Curls,C:\Users\anbal\Downloads\OKOKOK I LEARNT\Health.xlsx,Health
2025-07-23,131.2,Black Coffeee,100 Bicep Curls,C:\Users\anbal\Downloads\OKOKOK I LEARNT\Health.xlsx,Health
2025-07-22,,,,C:\Users\anbal\Downloads\OKOKOK I LEARNT\Hobby.xlsx,Manga
2025-07-23,,,,C:\Users\anbal\Downloads\OKOKOK I LEARNT\Hobby.xlsx,Manga
2025-07-22,,,,C:\Users\anbal\Downloads\OKOKOK I LEARNT\Relationship.xlsx,Relationship
2025-07-22,,,,C:\Users\anbal\Downloads\OKOKOK I LEARNT\Relationship.xlsx,Relationship
2025-07-22,,,,C:\Users\anbal\Downloads\OKOKOK I LEARNT\Wealth.xlsx,Expenditure
2025-08-07,,Keto Crunch,100 Bicep Curls,C:\Users\anbal\Downloads\paradise lost\Health.xlsx,Health
2025-08-07,,,,C:\Users\anbal\Downloads\paradise lost\Hobby.xlsx,PC Gaming
2025-08-07,,,,C:\Users\anbal\Downloads\paradise lost\Wealth.xlsx,Expenditure
2025-08-07,,,,C:\Users\anbal\Downloads\paradise lost\Wealth.xlsx,Expenditure
2025-10-05,129.4,Black Coffee,60 Bicep Curls,C:\Users\anbal\Downloads\PATHETIC ADHD LOOSER DIE DIE DIE NO SELF CONTROL FREE WILL IS LIE\Health.xlsx,Health
2025-10-01,127.2,Electrolyte Drink,60 Bicep Curls,C:\Users\anbal\Downloads\preserve\Health.xlsx,Health
2025-10-01,,,,C:\Users\anbal\Downloads\preserve\Hobby.xlsx,Anime
2025-10-01,,,,C:\Users\anbal\Downloads\preserve\Relationship.xlsx,Relationship
2025-10-01,,,,C:\Users\anbal\Downloads\preserve\Wealth.xlsx,Expenditure
2025-06-27,137,,60 Bicep Curls,C:\Users\anbal\Downloads\Sairam Anbalagan\28.xlsx,Routine
2025-06-28,137,,60 Bicep Curls,C:\Users\anbal\Downloads\Sairam Anbalagan\28.xlsx,Routine
2025-10-31,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Dopamine.xlsx,Dopamine
2025-10-31,128.2,2 Electrolyte Drink,60 Bicep Curls,C:\Users\anbal\Downloads\Sairam Anbalagan\Health.xlsx,Health
2025-05-30,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Mental Health.xlsx,Meditation
2025-05-31,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Mental Health.xlsx,Meditation
2025-06-01,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Mental Health.xlsx,Meditation
2025-06-04,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Mental Health.xlsx,Meditation
2025-06-07,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Mental Health.xlsx,Meditation
2025-05-03,158,Black Coffee,60 Bicep Curls,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine
2025-05-04,153.4,Black Coffee,60 Bicep Curls,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine
2025-05-05,152.2,Black Coffee,60 Shoulder Press,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine
2025-05-06,151.2,Black Coffee,60 Shoulder Press,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine
2025-05-07,152.8,Black Coffee,60 Bicep Curls,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine
2025-05-08,151.4,Black Coffee,60 Bicep Curls,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine
2025-05-09,150.6,Black Coffee,60 Bicep Curls,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine
2025-05-10,151.6,2x Black Coffee,60 Bicep Curls,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine
2025-05-11,151.4,Bulletproof Coffee,60 Bicep Curls,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine
2025-05-12,150.8,Black Coffee,60 Bicep Curls,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine
2025-05-13,150.4,Black Coffee,100 Bicep Curls,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine
2025-05-14,150.4,Electrolyte Drink,100 Bicep Curls,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine
2025-05-15,149.4,Black Coffee,100 Bicep Curls,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine
2025-05-16,150,Black Coffee,80 Bicep Curls,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine
2025-05-17,149.2,Electrolyte Drink,60 Bicep Curls,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine
2025-05-18,148.8,Bistro Salad,60 Bicep Curls,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine
2025-05-19,148.4,Bulletproof Coffee,80 Bicep Curls,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine
2025-05-20,149.8,Black Coffee,60 Bicep Curls,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine
2025-05-21,147.8,Bulletproof Coffee,60 Bicep Curls,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine
2025-05-22,147.6,Coffee,60 Bicep Curls,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine
2025-05-23,148.2,2 Coffee,60 Bicep Curls,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine
2025-05-24,146.6,Bulletproof Coffee,100 Bicep Curls,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine
2025-05-25,147.2,Coffee,120 Bicep Curls,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine
2025-05-26,146.8,2 Coffee,100 Bicep Curls,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine
2025-05-27,146.2,2 Coffee,100 Bicep Curls,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine
2025-05-28,147.2,Black Coffee,100 Bicep Curls,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine
2025-05-29,146.2,Black Coffee,60 Bicep Curls,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine
2025-05-30,146,2 Black Coffee,60 Bicep Curls,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine
2025-05-31,144.2,2 Black Coffee,60 Bicep Curls,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine
2025-06-01,143.8,Black Coffee,60 Bicep Curls,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine
2025-06-02,145,2 Black Coffee,100 Bicep Curls,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine
2025-06-03,143.6,2 Black Coffee,60 Bicep Curls,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine
2025-06-04,144.2,Black Coffee,100 Bicep Curls,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine
2025-06-05,142.2,2 Black Coffee,60 Bicep Curls,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine
2025-06-06,143.4,Black Coffee,60 Bicep Curls,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine
2025-06-07,144,Black Coffee,100 Bicep Curls,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine
2025-06-08,142.8,2 Black Coffee,60 Bicep Curls,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine
2025-06-09,143.6,Black Coffee,100 Bicep Curls,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine
2025-06-10,143.4,Black Coffee,60 Bicep Curls,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine
2025-06-11,142.8,2 Black Coffee,80 Bicep Curls,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine
2025-06-12,142,2 Black Coffee,60 Bicep Curls,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine
2025-06-13,141.8,Black Coffee,60 Bicep Curls,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine
2025-06-14,140.2,2 Black Coffee,100 Bicep Curls,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine
2025-06-15,140.6,2 Black Coffee,60 Bicep Curls,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine
2025-06-16,140,Black Coffee,100 Bicep Curls,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine
2025-06-17,139.8,2 Black Coffee,60 Bicep Curls,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine
2025-06-18,139.6,Black Coffee,60 Bicep Curls,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine
2025-06-19,140,2 Black Coffee,60 Bicep Curls,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine
2025-06-20,138.6,Black Coffee,60 Bicep Curls,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine
2025-06-21,140.6,2 Black Coffee,60 Bicep Curls,C:\Users\anbal\Downloads\Sairam Anbalagan\Routine.xlsx,Routine
2025-06-22,138.6,,60 Bicep Curls,C:\Users\anbal\Downloads\Sairam Anbalagan\Survive and Reproduce.xlsx,Health
2025-06-23,137.4,,60 Bicep Curls,C:\Users\anbal\Downloads\Sairam Anbalagan\Survive and Reproduce.xlsx,Health
2025-06-24,139.2,,60 Bicep Curls,C:\Users\anbal\Downloads\Sairam Anbalagan\Survive and Reproduce.xlsx,Health
2025-06-25,136.6,,60 Bicep Curls,C:\Users\anbal\Downloads\Sairam Anbalagan\Survive and Reproduce.xlsx,Health
2025-06-26,136.4,,60 Bicep Curls,C:\Users\anbal\Downloads\Sairam Anbalagan\Survive and Reproduce.xlsx,Health
2025-06-07,,,,C:\Users\anbal\Downloads\Sairam Anbalagan\Wealth.xlsx,Expenditure
2025-08-29,,Electrolyte Drink,100 Bicep Curls,C:\Users\anbal\Downloads\the end of road\Health.xlsx,Health
2025-09-17,130.6,2 Black Coffee,60 Bicep Curls,C:\Users\anbal\Downloads\The FALL\Health.xlsx,Health
2025-09-17,,,,C:\Users\anbal\Downloads\The FALL\Relationship.xlsx,Relationship
2025-09-17,,,,C:\Users\anbal\Downloads\The FALL\Wealth.xlsx,Expenditure
2025-10-23,130.4,3 Electrolyte Drink,120 Bicep Curls,C:\Users\anbal\Downloads\TIRED\Sairam Anbalagan.xlsx,Health
2025-10-24,128.8,Electrolyte Drink,120 Bicep Curls,C:\Users\anbal\Downloads\TIRED\Sairam Anbalagan.xlsx,Health
2025-08-26,130,3 Black Coffee,100 Bicep Curls,C:\Users\anbal\Downloads\TOO RICH\Health.xlsx,Health
2025-08-27,129,Black Coffee,100 Bicep Curls,C:\Users\anbal\Downloads\TOO RICH\Health.xlsx,Health
2025-08-26,,,,C:\Users\anbal\Downloads\TOO RICH\Relationship.xlsx,Sheet1
